
,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,lat,lon
54,Alyeska Resort – Girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,89.0,Anchorage,Alaska,62.0,14.0,31.0,17.0,,,,,
55,Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,104.0,Twin Mountain,New Hampshire,56.0,25.0,16.0,15.0,"[-71.46717042409762, 44.25146601305734]",New Hampshire,,-71.46717042409762,44.25146601305734
56,Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,110.0,West Dover,Vermont,60.0,6.0,46.0,8.0,"[-72.90796247996889, 42.961041548291924]",Vermont,http://mountsnow.com/,-72.90796247996889,42.961041548291924
57,Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,Red Lodge,Montana,65.0,11.0,30.0,24.0,"[-109.35125832434292, 45.18872464135545]",Montana,,-109.35125832434292,45.18872464135545
58,Smugglers' Notch,https://www.skiresort.info/ski-resort/smugglers-notch/,90.0,Jeffersonville,Vermont,78.0,13.0,41.0,24.0,,,,,
59,Bridger Bowl – Bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,63.0,Bozeman,Montana,71.0,20.0,26.0,25.0,,,,,
60,Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,Boise,Idaho,50.0,11.0,22.0,17.0,"[-116.08806273417413, 43.766873514853245]",Idaho,http://www.bogusbasin.org/,-116.08806273417413,43.766873514853245
61,Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,119.0,Kirkwood,Lake Tahoe,65.0,15.0,30.0,20.0,"[-120.06582143853203, 38.67714158103975]",California,http://www.kirkwood.com/,-120.06582143853203,38.67714158103975
62,Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,North Creek,The Adirondacks,58.2,6.7,28.2,23.3,"[-74.02378163740998, 43.67956294100719]",,http://www.goremountain.com,-74.02378163740998,43.67956294100719
63,Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,South Lake Tahoe,Lake Tahoe,46.5,12.0,23.0,11.5,"[-120.07588704046783, 38.79653993866911]",,http://www.sierraattahoe.com/,-120.07588704046783,38.79653993866911
64,Crystal Mountain (WA),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,149.0,Enumclaw,Washington State,50.0,8.0,27.0,15.0,,,,,
65,49 Degrees North Mountain Resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,Chewelah,Washington State,68.0,20.0,27.0,21.0,"[-117.56779086266143, 48.29241317934455]",,http://www.ski49n.com,-117.56779086266143,48.29241317934455
66,Timberline,https://www.skiresort.info/ski-resort/timberline/,89.0,Welches,Oregon,31.0,8.0,15.0,8.0,"[-89.93217229843097, 43.14051444932901]",Wisconsin,,-89.93217229843097,43.14051444932901
67,Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,135.0,Huntsville (Utah),Utah,48.0,5.0,28.0,15.0,"[-111.86105313110127, 41.19940921279766]",,http://www.snowbasin.com/,-111.86105313110127,41.19940921279766
68,Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,Lincoln,New Hampshire,45.0,13.0,26.0,6.0,"[-71.63237615371992, 44.045973468819]",,,-71.63237615371992,44.045973468819
69,Apache,https://www.skiresort.info/ski-resort/apache/,74.0,Ruidoso,New Mexico,55.0,12.0,18.0,25.0,,,,,
70,Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,Tannersville,The Catskills,55.0,18.0,18.0,19.0,"[-74.22299654540444, 42.20224480588236]",New York,http://www.huntermtn.com/,-74.22299654540444,42.20224480588236
71,Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,Donnelly,Idaho,42.0,12.0,20.0,10.0,"[-116.14289420041456, 44.681993244217395]",Idaho,http://www.tamarackidaho.com,-116.14289420041456,44.681993244217395
72,Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,Windham,The Catskills,46.0,20.0,16.0,10.0,"[-74.257278442383, 42.292548351430014]",New York,,-74.257278442383,42.292548351430014
73,Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,Flagstaff,Arizona,37.0,12.0,14.0,11.0,"[-111.6985322631388, 35.33008002062042]",Arizona,http://www.arizonasnowbowl.com,-111.6985322631388,35.33008002062042
74,Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,59.0,Government Camp,Oregon,65.0,15.0,15.0,35.0,,,,,
75,Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,110.0,Driggs,Wyoming,35.0,5.0,15.0,15.0,,,,,
76,Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,85.0,Ellicottville,Chautauqua-Allegheny,48.0,16.0,13.0,19.0,,,,,
77,Stevens Pass,https://www.skiresort.info/ski-resort/stevens-pass/,100.0,Skykomish,Washington State,39.0,6.0,18.0,15.0,,,,,
78,Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,Franconia,New Hampshire,50.0,15.0,25.0,10.0,"[-71.70194662723318, 44.169800364705864]",,http://www.cannonmt.com/,-71.70194662723318,44.169800364705864
79,Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,84.0,Lutsen,Minnesota,40.0,8.0,19.0,13.0,"[-90.71958907484105, 47.6575728382465]",Minnesota,http://www.lutsen.com,-90.71958907484105,47.6575728382465
80,Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,129.0,Nederland,Colorado,52.0,11.0,26.0,15.0,,,,,
81,Loveland,https://www.skiresort.info/ski-resort/loveland/,89.0,Silverthorne,Colorado,93.0,12.0,38.0,43.0,"[-105.90439419992143, 39.677877686970156]",,http://www.skiloveland.com/,-105.90439419992143,39.677877686970156
82,Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,85.0,Killington,Vermont,30.4,5.4,14.0,11.0,"[-72.8402508108209, 43.65144701753737]",Vermont,,-72.8402508108209,43.65144701753737
83,White Pass,https://www.skiresort.info/ski-resort/white-pass/,69.0,Naches,Washington State,30.0,10.0,12.0,8.0,,,,,
84,Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,46.0,Sula,Montana,50.0,15.0,25.0,10.0,"[-113.93195876634385, 45.70063846973573]",Idaho,,-113.93195876634385,45.70063846973573
85,Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,79.0,Mesa,Colorado,38.0,5.0,15.0,18.0,,,,,
86,Gunstock,https://www.skiresort.info/ski-resort/gunstock/,92.0,Gilford,New Hampshire,40.0,5.0,25.0,10.0,,,,,
87,June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,129.0,June Lake,Mammoth Lakes,35.7,2.1,12.9,20.7,"[-119.07544109479164, 37.75497978645833]",California,http://www.junemountain.com/,-119.07544109479164,37.75497978645833
88,China Peak,https://www.skiresort.info/ski-resort/china-peak/,104.0,Clovis,California,50.0,20.0,17.0,13.0,,,,,
89,Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,79.0,Truckee,Lake Tahoe,52.0,13.0,26.0,13.0,"[-120.33963207285774, 39.32438453508068]",California,http://www.donnerskiranch.com/,-120.33963207285774,39.32438453508068
90,Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,92.0,Waitsfield,Vermont,46.0,14.0,17.0,15.0,"[-72.92671381386864, 44.19881530164241]",,http://www.madriverglen.com,-72.92671381386864,44.19881530164241
91,Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,49.0,Philipsburg,Montana,45.0,12.0,12.0,21.0,"[-113.24449588465802, 46.26188442772641]",Montana,http://www.skidiscovery.com/,-113.24449588465802,46.26188442772641
92,Great Divide,https://www.skiresort.info/ski-resort/great-divide/,48.0,Marysville,Montana,50.0,10.0,20.0,20.0,,,,,
93,Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,78.0,Sonora,California,50.0,10.0,20.0,20.0,,,,,
94,Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,89.0,North Conway,New Hampshire,43.0,16.0,19.0,8.0,"[-71.09838447483993, 44.0570867619397]",,http://www.cranmore.com/,-71.09838447483993,44.0570867619397
