,name,link,price,total_len,easy_len,intermediate_len,difficult_len
108, Beaver Mountain ,https://www.skiresort.info/ski-resort/beaver-mountain/,50.0,30.0,10.0,12.0,8.0
109, Camelback ,https://www.skiresort.info/ski-resort/camelback/,70.0,34.0,20.0,11.0,3.0
110, Timberline Mountain ,https://www.skiresort.info/ski-resort/timberline-mountain/,84.0,18.0,6.0,6.0,6.0
111, Waterville Valley ,https://www.skiresort.info/ski-resort/waterville-valley/,96.0,25.0,3.5,16.0,5.5
112, Willamette Pass – Crescent ,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,60.0,29.0,6.0,13.0,10.0
113, Snow Summit – Big Bear Lake ,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,N/A,29.0,10.0,12.0,7.0
114, Lookout Pass ,https://www.skiresort.info/ski-resort/lookout-pass/,49.0,31.0,8.0,14.0,9.0
115, Montana Snowbowl ,https://www.skiresort.info/ski-resort/montana-snowbowl/,50.0,31.0,5.0,12.0,14.0
116, Mountain Creek – Vernon ,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,79.99,24.0,4.0,14.0,6.0
117, Belleayre Mountain ,https://www.skiresort.info/ski-resort/belleayre-mountain/,95.0,20.0,5.0,11.0,4.0
118, Haystack Mountain – The Hermitage Club ,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,N/A,19.3,5.6,9.5,4.2
119, Monarch ,https://www.skiresort.info/ski-resort/monarch/,89.0,31.0,5.0,14.0,12.0
120, The Summit at Snoqualmie ,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,95.0,27.9,5.2,13.7,9.0
121, Mt. Spokane ,https://www.skiresort.info/ski-resort/mt-spokane/,62.0,26.0,7.0,5.0,14.0
122, Bristol Mountain ,https://www.skiresort.info/ski-resort/bristol-mountain/,79.0,20.0,6.0,10.0,4.0
123, Sandia Peak ,https://www.skiresort.info/ski-resort/sandia-peak/,55.0,31.0,8.0,20.0,3.0
124, Pats Peak ,https://www.skiresort.info/ski-resort/pats-peak/,72.0,33.0,10.0,8.0,15.0
125, Wachusett Mountain ,https://www.skiresort.info/ski-resort/wachusett-mountain/,71.0,12.0,3.6,4.8,3.6
126, Boyne Highlands ,https://www.skiresort.info/ski-resort/boyne-highlands/,98.0,25.7,10.3,7.7,7.7
127, Granby Ranch ,https://www.skiresort.info/ski-resort/granby-ranch/,84.0,20.0,6.0,10.0,4.0
128, Granite Peak at Rib Mountain State Park ,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,82.0,20.0,10.0,5.0,5.0
129, Magic Mountain ,https://www.skiresort.info/ski-resort/magic-mountain/,74.0,23.0,7.0,7.0,9.0
130, Diamond Peak ,https://www.skiresort.info/ski-resort/diamond-peak/,109.0,16.3,1.6,7.1,7.6
131, Homewood Mountain Resort ,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,N/A,20.0,6.0,13.0,1.0
132, Sugar Mountain ,https://www.skiresort.info/ski-resort/sugar-mountain/,75.0,14.0,4.0,7.0,3.0
133, Titus Mountain ,https://www.skiresort.info/ski-resort/titus-mountain/,49.0,27.0,10.0,10.0,7.0
134, Soldier Mountain ,https://www.skiresort.info/ski-resort/soldier-mountain/,43.0,25.0,9.0,8.0,8.0
135, Maverick Mountain ,https://www.skiresort.info/ski-resort/maverick-mountain/,39.0,20.0,6.0,8.0,6.0
136, Mountain High East ,https://www.skiresort.info/ski-resort/mountain-high-east/,84.0,11.0,2.0,5.0,4.0
137, Boreal ,https://www.skiresort.info/ski-resort/boreal/,N/A,20.0,6.0,11.0,3.0
138, Sunlight Mountain ,https://www.skiresort.info/ski-resort/sunlight-mountain/,65.0,20.0,4.0,11.0,5.0
139, Mt. Shasta Ski Park ,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,65.0,23.0,5.0,8.0,10.0
140, Holimont ,https://www.skiresort.info/ski-resort/holimont/,75.0,20.0,4.0,6.0,10.0
141, Shawnee Peak ,https://www.skiresort.info/ski-resort/shawnee-peak/,75.0,23.0,4.0,12.0,7.0
142, Pebble Creek ,https://www.skiresort.info/ski-resort/pebble-creek/,47.0,19.0,6.0,9.0,4.0
143, Mt. Baldy ,https://www.skiresort.info/ski-resort/mt-baldy/,76.0,20.0,3.0,6.0,11.0
144, Cooper ,https://www.skiresort.info/ski-resort/cooper/,56.0,26.0,8.0,10.0,8.0
145, Butternut ,https://www.skiresort.info/ski-resort/butternut/,65.0,22.0,4.4,13.2,4.4
146, Cascade Mountain ,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,14.0,5.0,5.0,4.0
147, Cherry Peak ,https://www.skiresort.info/ski-resort/cherry-peak/,40.0,20.0,5.0,10.0,5.0
148, Showdown ,https://www.skiresort.info/ski-resort/showdown/,47.0,20.0,6.0,8.0,6.0
149, Seven Springs ,https://www.skiresort.info/ski-resort/seven-springs/,89.0,17.0,6.0,7.0,4.0
