,index,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website
41,89,Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,79.0,Truckee,Lake Tahoe,52.0,13.0,26.0,13.0,"{-120.33963207285774,39.32438453508068}",California,http://www.donnerskiranch.com/
42,90,Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,92.0,Waitsfield,Vermont,46.0,14.0,17.0,15.0,"{-72.92671381386864,44.19881530164241}",Unknown,http://www.madriverglen.com
43,91,Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,49.0,Philipsburg,Montana,45.0,12.0,12.0,21.0,"{-113.24449588465802,46.26188442772641}",Montana,http://www.skidiscovery.com/
44,94,Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,89.0,North Conway,New Hampshire,43.0,16.0,19.0,8.0,"{-71.09838447483993,44.0570867619397}",Unknown,http://www.cranmore.com/
45,97,Sundance,https://www.skiresort.info/ski-resort/sundance/,85.0,Provo,Utah,44.0,15.0,20.0,9.0,"{-111.58797643357562,40.38032488125004}",Utah,
46,98,Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,62.0,Kellogg,Idaho,25.0,4.0,8.0,13.0,"{-84.829323291779,45.88944061224898}",Michigan,http://www.michigan.org/property/silver-mountain-ski-area-tubing-hill/
47,102,Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,84.0,Danbury,New Hampshire,22.5,4.5,10.0,8.0,"{-71.84394834459454,43.47734333355856}",Unknown,Unknown
48,103,Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,31.0,14.0,11.0,6.0,"{-79.99286495116277,38.42216330451435}",West Virginia,Unknown
49,104,Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,31.0,14.0,11.0,6.0,"{-79.99455587514706,38.424160087161}",West Virginia,http://www.snowshoemtn.com/
50,106,Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,89.0,Highland,California,34.0,4.0,20.0,10.0,"{-72.96943187713597,43.199419789148}",Vermont,
51,108,Wildcat Mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,94.0,Jackson,New Hampshire,25.0,5.2,12.1,7.7,"{-71.23230653632866,44.257868843003834}",Unknown,Unknown
52,110,Timberline Mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,84.0,Davis,West Virginia,18.0,6.0,6.0,6.0,"{-79.39690773244554,39.036715966828105}",West Virginia,Unknown
53,112,Waterville Valley,https://www.skiresort.info/ski-resort/waterville-valley/,96.0,Waterville Valley,New Hampshire,25.0,3.5,16.0,5.5,"{-71.54023343135474,43.96078661238709}",New Hampshire,https://www.waterville.com/
54,115,Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,50.0,Missoula,Montana,31.0,5.0,12.0,14.0,"{-114.00330547195904,47.022568188476306}",Montana,Unknown
55,116,Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,49.0,Mullan,Idaho,31.0,8.0,14.0,9.0,"{-115.70558743624466,47.45383007947599}",Idaho,http://www.skilookout.com/
