,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,Latitude,Longtitude,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
39,Sugar Bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,125.0,Truckee,Lake Tahoe,90.0,15.3,40.5,34.2,,,,,,02/23/21,20:42:00,39.328,-120.1833,29.102000000000075,21.506000000000032,23.0,35.006000000000036,clear sky,68.0,1.0,2.06,0.0,0.0
40,Whitefish Mountain Resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,85.0,Whitefish Mountain Village,Montana,91.0,18.0,46.0,27.0,"[-114.34326102380551, 48.497283508593256]",Montana,,-114.34326102380551,48.497283508593256,,,,,,,,,,,,,,
41,Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,79.0,Angel Fire,New Mexico,75.0,40.0,28.0,7.0,,,,,,02/23/21,21:42:00,36.3931,-105.285,31.658000000000005,17.708000000000006,26.996000000000052,33.8,clear sky,47.0,1.0,6.69,0.0,0.0
42,Wolf Creek,https://www.skiresort.info/ski-resort/wolf-creek/,80.0,Pagosa Springs,Colorado,100.0,20.0,35.0,45.0,,,,,,02/23/21,21:42:00,37.2695,-107.0098,27.932000000000013,20.26400000000003,26.006000000000032,28.994000000000078,clear sky,69.0,1.0,2.06,0.0,0.0
43,Sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,119.0,Warren,Vermont,85.0,17.0,38.0,30.0,,,,,,02/23/21,23:42:00,39.4334,-84.1666,34.80800000000001,26.762000000000054,30.992,39.2,clear sky,75.0,1.0,3.09,0.0,0.0
44,Purgatory – Durango,https://www.skiresort.info/ski-resort/purgatory-durango/,89.0,Durango,Colorado,85.0,15.0,40.0,30.0,,,,,,02/23/21,05:42:00,24.8333,-104.8333,56.33600000000007,49.02800000000007,56.33600000000007,56.33600000000007,broken clouds,37.0,62.0,2.78,0.0,0.0
45,Sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,119.0,Carrabassett Valley,Maine,87.0,20.0,30.0,37.0,"[-70.31393209318415, 45.043314638097705]",Maine,http://www.sugarloaf.com,-70.31393209318415,45.043314638097705,,,,,,,,,,,,,,
46,Brighton,https://www.skiresort.info/ski-resort/brighton/,97.0,Sandy,Salt Lake City,66.0,10.0,18.0,38.0,,,,,,,,,,,,,,,,,,,
47,Okemo,https://www.skiresort.info/ski-resort/okemo/,119.0,Ludlow,Vermont,70.0,22.0,26.0,22.0,,,,,,02/23/21,23:42:00,42.1601,-72.4759,39.056000000000026,28.07600000000009,37.004000000000055,41.0,overcast clouds,70.0,90.0,5.66,0.0,0.0
48,Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,68.58,Glacier,Washington State,100.0,24.0,45.0,31.0,,,,,,02/23/21,20:42:00,48.65,-112.9676,20.732000000000017,10.291999999999994,15.8,24.998000000000022,scattered clouds,86.0,40.0,4.12,79.0,66.0
49,Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,84.0,Burlington,Vermont,30.0,15.0,10.0,5.0,,,,,,02/23/21,23:42:00,39.8835,-74.6413,43.39400000000008,31.87400000000001,42.8,44.6,few clouds,61.0,20.0,6.17,24.0,0.0
50,Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,89.0,Jay,Vermont,76.0,15.0,31.0,30.0,"[-72.51622713475902, 44.928436540122156]",Vermont,http://jaypeakresort.com/,-72.51622713475902,44.928436540122156,02/23/21,13:42:00,44.5039,-70.2162,31.1,25.466000000000008,30.002000000000077,33.008,overcast clouds,86.0,100.0,1.15,0.0,0.0
51,Solitude,https://www.skiresort.info/ski-resort/solitude/,125.0,Salt Lake City,Salt Lake City,64.0,20.0,30.0,14.0,,,,,,02/23/21,21:42:00,40.7608,-111.8911,29.858000000000004,21.758000000000006,26.996000000000052,33.8,clear sky,51.0,1.0,2.06,27.0,0.0
52,Brian Head,https://www.skiresort.info/ski-resort/brian-head/,59.0,Parowan,Utah,71.0,22.0,24.0,25.0,,,,,,02/23/21,21:42:00,37.8422,-112.82799999999999,38.39000000000002,32.77400000000001,35.6,41.0,clear sky,48.0,1.0,0.53,0.0,0.0
53,Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,99.0,Bear Valley,California,67.0,17.0,27.0,23.0,,,,,,02/23/21,20:42:00,38.4646,-120.0399,28.49000000000002,18.95,26.996000000000052,30.992,clear sky,74.0,1.0,3.7,0.0,0.0
54,Alyeska Resort – Girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,89.0,Anchorage,Alaska,62.0,14.0,31.0,17.0,,,,,,02/23/21,19:42:00,61.2181,-149.9003,15.674000000000017,7.754000000000055,15.008000000000004,17.99600000000005,overcast clouds,67.0,90.0,1.54,0.0,0.0
55,Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,104.0,Twin Mountain,New Hampshire,56.0,25.0,16.0,15.0,"[-71.46717042409762, 44.25146601305734]",New Hampshire,,-71.46717042409762,44.25146601305734,02/23/21,23:42:00,44.2723,-71.539,28.652000000000076,20.498000000000022,14.0,32.0,light snow,93.0,90.0,3.09,86.0,99.0
56,Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,110.0,West Dover,Vermont,60.0,6.0,46.0,8.0,"[-72.90796247996889, 42.961041548291924]",Vermont,http://mountsnow.com/,-72.90796247996889,42.961041548291924,02/23/21,07:42:00,44.4921,-63.8692,34.50200000000007,27.914000000000033,33.008,35.6,overcast clouds,80.0,100.0,2.06,0.0,0.0
