,name,link,price,closest_town,region,zip,coordinates,total_len,easy_len,intermediate_len,difficult_len,state
12,Squaw Valley,https://www.skiresort.info/ski-resort/squaw-valley/,209.0,Olympic Valley,Lake Tahoe,96146,"[-120.21804, 39.180983]",100.0,25.0,45.0,30.0,California
13,Steamboat,https://www.skiresort.info/ski-resort/steamboat/,199.0,Steamboat Springs,Colorado,80487,"[-106.87521, 40.502772]",165.0,25.0,95.0,45.0,Colorado
14,Park City,https://www.skiresort.info/ski-resort/park-city/,133.0,Park City,Salt Lake City,84060,"[-111.49362, 40.648541]",250.0,27.0,152.0,71.0,Utah
15,Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,194.0,Big Sky Mountain Village,Montana,59716,"[-111.32651, 45.268367]",250.0,55.0,69.0,126.0,Montana
16,Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,199.0,Highlands Village,Aspen Snowmass,81612,"[-106.882774, 39.223416]",135.0,24.3,40.5,70.2,Colorado
17,Copper Mountain,https://www.skiresort.info/ski-resort/copper-mountain/,189.0,Frisco,Colorado,80443,"[-106.14029, 39.532506]",126.0,30.0,40.0,56.0,Colorado
18,Alpine Meadows,https://www.skiresort.info/ski-resort/alpine-meadows/,209.0,Alpine Meadows,Lake Tahoe,96146,"[-120.21804, 39.180983]",100.0,25.0,40.0,35.0,California
19,Alta,https://www.skiresort.info/ski-resort/alta/,125.0,Alta,,84092,"[-111.80902, 40.558748]",116.0,29.0,46.4,40.6,Utah
20,Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,199.0,Aspen,Aspen Snowmass,81612,"[-106.882774, 39.223416]",34.0,11.9,13.3,8.8,Colorado
21,Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,182.0,Teton Village,Wyoming,83025,"[-110.694002, 43.443851]",116.0,16.0,50.0,50.0,Wyoming
22,Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,,Park City, read more,84060,"[-111.49362, 40.648541]",103.0,28.0,42.0,33.0,Utah
23,Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,151.0,Mount Crested Butte,Colorado,81224,"[-106.96556, 38.865307]",121.0,31.4,69.0,20.6,Colorado
24,Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,99.0,Eden,Utah,84310,"[-111.81304, 41.364638]",135.0,30.0,50.0,55.0,Utah
25,Whiteface – Lake Placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,115.0,Lake Placid,The Adirondacks,12997,"[-73.815204, 44.145678]",37.0,12.8,15.9,8.3,New York
26,Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,169.0,Bend,Oregon,97702,"[-121.30891, 44.020483]",100.0,15.0,25.0,60.0,Oregon
27,Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,170.0,Truckee,Lake Tahoe,96161,"[-120.22805, 39.339574]",97.0,25.0,45.0,27.0,California
28,Yellowstone Club,https://www.skiresort.info/ski-resort/yellowstone-club/,,Yellowstone Club,Montana,59716,"[-111.32651, 45.268367]",80.0,30.0,30.0,20.0,Montana
29,Snowbird,https://www.skiresort.info/ski-resort/snowbird/,165.0,Snowbird,Salt Lake City,84092,"[-111.80902, 40.558748]",103.0,27.0,38.0,38.0,Utah
30,Bald Mountain – Sun Valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,165.0,,Idaho,83353,"[-114.18191, 43.661373]",92.0,35.0,40.0,17.0,Idaho
