,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len
68, Loon Mountain ,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,Lincoln,New Hampshire,45.0,13.0,26.0,6.0
69, Apache ,https://www.skiresort.info/ski-resort/apache/,74.0,Ruidoso,New Mexico,55.0,12.0,18.0,25.0
70, Hunter Mountain ,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,Tannersville,The Catskills,55.0,18.0,18.0,19.0
71, Tamarack Resort ,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,Donnelly,Idaho,42.0,12.0,20.0,10.0
72, Windham Mountain ,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,Windham,The Catskills,46.0,20.0,16.0,10.0
73, Arizona Snowbowl ,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,Flagstaff,Arizona,37.0,12.0,14.0,11.0
74, Mt. Hood Skibowl ,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,59.0,Government Camp,Oregon,65.0,15.0,15.0,35.0
75, Grand Targhee ,https://www.skiresort.info/ski-resort/grand-targhee/,110.0,Driggs,Wyoming,35.0,5.0,15.0,15.0
76, Holiday Valley ,https://www.skiresort.info/ski-resort/holiday-valley/,85.0,Ellicottville,Chautauqua-Allegheny,48.0,16.0,13.0,19.0
77, Stevens Pass ,https://www.skiresort.info/ski-resort/stevens-pass/,100.0,Skykomish,Washington State,39.0,6.0,18.0,15.0
78, Cannon Mountain ,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,Franconia,New Hampshire,50.0,15.0,25.0,10.0
79, Lutsen Mountains ,https://www.skiresort.info/ski-resort/lutsen-mountains/,84.0,Lutsen,Minnesota,40.0,8.0,19.0,13.0
80, Eldora Mountain ,https://www.skiresort.info/ski-resort/eldora-mountain/,129.0,Nederland,Colorado,52.0,11.0,26.0,15.0
81, Loveland ,https://www.skiresort.info/ski-resort/loveland/,89.0,Silverthorne,Colorado,93.0,12.0,38.0,43.0
82, Pico Mountain ,https://www.skiresort.info/ski-resort/pico-mountain/,85.0,Killington,Vermont,30.4,5.4,14.0,11.0
83, White Pass ,https://www.skiresort.info/ski-resort/white-pass/,69.0,Naches,Washington State,30.0,10.0,12.0,8.0
84, Lost Trail Powder Mountain ,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,46.0,Sula,Montana,50.0,15.0,25.0,10.0
85, Powderhorn ,https://www.skiresort.info/ski-resort/powderhorn/,79.0,Mesa,Colorado,38.0,5.0,15.0,18.0
86, Gunstock ,https://www.skiresort.info/ski-resort/gunstock/,92.0,Gilford,New Hampshire,40.0,5.0,25.0,10.0
87, June Mountain ,https://www.skiresort.info/ski-resort/june-mountain/,129.0,June Lake,Mammoth Lakes,35.7,2.1,12.9,20.7
88, China Peak ,https://www.skiresort.info/ski-resort/china-peak/,104.0,Clovis,California,50.0,20.0,17.0,13.0
89, Donner Ski Ranch ,https://www.skiresort.info/ski-resort/donner-ski-ranch/,79.0,Truckee,Lake Tahoe,52.0,13.0,26.0,13.0
90, Mad River Glen ,https://www.skiresort.info/ski-resort/mad-river-glen/,92.0,Waitsfield,Vermont,46.0,14.0,17.0,15.0
91, Discovery Ski Area ,https://www.skiresort.info/ski-resort/discovery-ski-area/,49.0,Philipsburg,Montana,45.0,12.0,12.0,21.0
92, Great Divide ,https://www.skiresort.info/ski-resort/great-divide/,48.0,Marysville,Montana,50.0,10.0,20.0,20.0
